City,Country,Date,Latitude,Longitude,Humidity,Pressure,Max_Temp,Cloudiness,Wind_Speed
Saint Paul Harbor,US,2020-07-22 22:19:13,57.79,-152.41,45,1014,66.2,20,8.2
Busselton,AU,2020-07-22 22:19:28,-33.65,115.33,52,1009,57.0,37,9.34
Mataura,NZ,2020-07-22 22:21:38,-46.19,168.86,83,1011,39.0,95,1.34
East London,ZA,2020-07-22 22:17:41,-33.02,27.91,41,1024,63.61,0,2.81
Hazorasp,UZ,2020-07-22 22:24:51,41.32,61.07,54,1003,78.8,40,2.1
Hithadhoo,MV,2020-07-22 22:17:22,-0.6,73.08,70,1007,83.46,59,2.4
New Norfolk,AU,2020-07-22 22:17:42,-42.78,147.06,88,1022,42.01,73,1.2
Vaini,TO,2020-07-22 22:17:49,-21.2,-175.2,73,1020,75.2,75,2.6
São Filipe,CV,2020-07-22 22:19:28,14.9,-24.5,85,1012,78.26,99,2.94
Cape Town,ZA,2020-07-22 22:21:40,-33.93,18.42,100,1023,55.0,0,1.0
Hobart,AU,2020-07-22 22:18:20,-42.88,147.33,75,1022,43.0,75,3.6
Lyngseidet,NO,2020-07-22 22:24:52,69.58,20.22,87,1010,50.0,75,13.4
Coquimbo,CL,2020-07-22 22:17:56,-29.95,-71.34,67,1019,57.2,40,6.2
Biltine,TD,2020-07-22 22:24:53,14.53,20.92,71,1010,77.77,100,12.76
Qaanaaq,GL,2020-07-22 22:17:32,77.48,-69.36,53,1014,47.84,0,0.5
Chancay,PE,2020-07-22 22:24:53,-11.57,-77.27,77,1014,62.6,75,2.6
Stege,DK,2020-07-22 22:24:53,54.99,12.28,1,1017,60.01,100,5.6
Tamala,RU,2020-07-22 22:24:53,52.54,43.25,96,1006,58.6,0,3.98
Smithers,CA,2020-07-22 22:24:53,54.78,-127.17,59,1009,62.6,75,2.96
Slave Lake,CA,2020-07-22 22:24:00,55.28,-114.77,72,1006,68.0,20,2.1
Ushuaia,AR,2020-07-22 22:17:21,-54.8,-68.3,64,1023,35.6,95,2.1
Perevoz,RU,2020-07-22 22:24:54,55.6,44.54,94,1003,58.73,62,2.56
Jamestown,US,2020-07-22 22:17:49,42.1,-79.24,73,1017,79.0,20,5.7
Barrow,US,2020-07-22 22:17:29,71.29,-156.79,81,1014,42.8,90,5.1
Dikson,RU,2020-07-22 22:18:58,73.51,80.55,92,1023,39.99,41,3.47
Soe,ID,2020-07-22 22:20:33,-9.86,124.28,95,1012,58.98,99,2.24
Tsagan Aman,RU,2020-07-22 22:24:55,47.56,46.72,39,1008,75.43,23,3.67
Qasigiannguit,GL,2020-07-22 22:24:55,68.82,-51.19,58,1007,53.6,40,1.5
Nizwá,OM,2020-07-22 22:24:55,22.93,57.53,73,1002,78.93,86,3.9
Iracoubo,GF,2020-07-22 22:20:31,5.48,-53.2,84,1010,78.98,88,3.43
Arrondissement de Bastia,FR,2020-07-22 22:24:55,42.67,9.33,73,1016,77.0,0,1.5
Cockburn Town,TC,2020-07-22 22:16:26,21.46,-71.14,78,1015,83.61,19,9.42
Talnakh,RU,2020-07-22 22:18:07,69.49,88.4,87,1015,50.0,0,10.0
Thompson,CA,2020-07-22 22:17:29,55.74,-97.86,47,1011,78.8,75,4.1
Chui,UY,2020-07-22 22:17:34,-33.7,-53.46,96,1013,64.51,100,3.38
Ribeira Grande,PT,2020-07-22 22:17:30,38.52,-28.7,70,1028,70.54,28,1.25
Skoghall,SE,2020-07-22 22:24:56,59.32,13.47,81,1013,51.8,47,3.1
Grand-Santi,GF,2020-07-22 22:24:56,4.25,-54.38,94,1009,75.22,98,1.23
Gela,IT,2020-07-22 22:24:56,37.08,14.23,68,1016,73.99,0,2.6
Avarua,CK,2020-07-22 22:16:06,-21.21,-159.78,94,1018,77.0,6,5.1
Strai,NO,2020-07-22 22:24:57,58.2,7.9,66,1016,55.99,5,2.6
Punta Arenas,CL,2020-07-22 22:17:03,-53.15,-70.92,100,1028,28.0,20,3.1
Tazovsky,RU,2020-07-22 22:24:57,67.47,78.7,80,1016,44.26,0,6.55
College,US,2020-07-22 22:19:18,64.86,-147.8,77,1013,59.0,75,2.6
Albany,US,2020-07-22 22:17:28,42.6,-73.97,75,1012,84.99,72,0.45
Rikitea,PF,2020-07-22 22:17:21,-23.12,-134.97,59,1022,66.97,100,6.22
Oranjemund,NA,2020-07-22 22:23:35,-28.55,16.43,69,1020,59.04,0,0.71
Ilulissat,GL,2020-07-22 22:19:12,69.22,-51.1,58,1007,53.6,40,1.5
Omaruru,NA,2020-07-22 22:24:58,-21.43,15.93,36,1021,54.99,0,4.09
Norman Wells,CA,2020-07-22 22:17:38,65.28,-126.83,76,1012,57.2,75,6.2
Bariloche,AR,2020-07-22 22:24:58,-41.15,-71.31,80,1030,30.2,90,3.1
Lebu,CL,2020-07-22 22:19:36,-37.62,-73.65,81,1021,50.4,32,1.21
Puerto Ayora,EC,2020-07-22 22:17:37,-0.74,-90.35,61,1012,78.8,40,9.3
Yatou,CN,2020-07-22 22:24:59,37.15,122.38,94,1000,70.07,100,10.26
Tagusao,PH,2020-07-22 22:20:32,9.19,117.81,81,1007,79.99,80,3.14
Beringovskiy,RU,2020-07-22 22:19:42,63.05,179.32,78,1019,49.24,0,4.06
Kruisfontein,ZA,2020-07-22 22:20:32,-34.0,24.73,42,1022,57.04,0,2.67
Plastun,RU,2020-07-22 22:24:59,44.76,136.29,90,1014,63.41,100,1.19
Port Alfred,ZA,2020-07-22 22:17:32,-33.59,26.89,69,1023,63.19,0,4.22
Mount Isa,AU,2020-07-22 22:19:11,-20.73,139.5,37,1018,55.4,0,2.6
Nishihara,JP,2020-07-22 22:24:04,26.18,127.76,83,1012,84.2,75,2.6
La Ronge,CA,2020-07-22 22:25:00,55.1,-105.28,47,1006,80.6,75,5.1
Atuona,PF,2020-07-22 22:17:33,-9.8,-139.03,73,1014,79.63,1,7.89
Muros,ES,2020-07-22 22:19:21,42.78,-9.06,74,1018,71.01,1,3.13
Susanville,US,2020-07-22 22:25:00,40.42,-120.65,14,1012,84.99,1,8.2
Severo-Kuril'sk,RU,2020-07-22 22:18:52,50.68,156.12,84,1018,52.29,34,0.52
Anadyr,RU,2020-07-22 22:20:15,64.75,177.48,71,1019,55.4,2,4.0
Bonfim,BR,2020-07-22 22:25:01,3.08,-59.95,81,1009,80.46,100,0.58
Vostok,RU,2020-07-22 22:25:01,46.49,135.88,94,1013,64.11,97,0.5
Longyearbyen,SJ,2020-07-22 22:18:01,78.22,15.64,75,1012,46.4,75,6.2
Tasiilaq,GL,2020-07-22 22:19:05,65.61,-37.64,86,1016,41.0,35,2.6
Narva-Jõesuu,EE,2020-07-22 22:25:02,59.46,28.04,67,1003,59.38,36,8.71
Matveyevka,RU,2020-07-22 22:25:02,52.15,56.18,100,1002,60.8,40,5.0
Brae,GB,2020-07-22 22:17:30,60.4,-1.35,87,1016,55.4,61,5.1
Canyon,US,2020-07-22 22:24:34,34.98,-101.92,41,1007,93.0,15,4.02
Polunochnoye,RU,2020-07-22 22:25:02,60.87,60.42,79,1013,55.53,41,1.12
Hilo,US,2020-07-22 22:14:50,19.73,-155.09,51,1017,86.0,75,4.6
Itaituba,BR,2020-07-22 22:19:46,-4.28,-55.98,46,1008,93.2,20,0.59
Oriximiná,BR,2020-07-22 22:25:03,-1.77,-55.87,76,1008,81.59,91,1.16
Upernavik,GL,2020-07-22 22:19:44,72.79,-56.15,69,1011,47.17,0,5.65
Laas,IT,2020-07-22 22:19:37,46.62,10.7,100,1022,62.01,75,0.79
Kapaa,US,2020-07-22 22:21:43,22.08,-159.32,83,1017,82.0,75,4.1
Cabo San Lucas,MX,2020-07-22 22:16:12,22.89,-109.91,69,1013,91.99,40,8.7
Uspenka,UA,2020-07-22 22:25:04,48.39,39.16,67,1013,63.55,10,4.26
Kieta,PG,2020-07-22 22:25:04,-6.22,155.63,73,1011,81.95,80,2.32
Bluff,NZ,2020-07-22 22:17:54,-46.6,168.33,83,1011,39.0,97,1.34
Tura,IN,2020-07-22 22:17:39,25.52,90.22,98,1001,73.8,100,2.18
Ahipara,NZ,2020-07-22 22:17:50,-35.17,173.17,73,1018,58.37,51,6.78
Hong Kong,HK,2020-07-22 22:15:24,22.29,114.16,79,1009,84.0,57,2.51
Hermanus,ZA,2020-07-22 22:17:42,-34.42,19.23,92,1021,53.01,0,2.16
Port Elizabeth,ZA,2020-07-22 22:17:58,-33.92,25.57,100,1022,57.2,40,2.1
Kaitangata,NZ,2020-07-22 22:17:21,-46.28,169.85,74,995,39.99,43,6.71
Port Blair,IN,2020-07-22 22:19:33,11.67,92.75,100,1006,77.0,75,1.0
Promissão,BR,2020-07-22 22:25:05,-21.54,-49.86,51,1015,72.61,0,3.46
Castro,BR,2020-07-22 22:17:42,-24.79,-50.01,74,1018,60.03,97,0.89
Rocha,UY,2020-07-22 22:23:32,-34.48,-54.33,96,1012,66.76,100,3.19
George Town,MY,2020-07-22 22:16:47,5.41,100.34,88,1008,78.8,20,3.0
Urengoy,RU,2020-07-22 22:25:06,65.97,78.37,78,1014,48.65,15,6.9
Khatanga,RU,2020-07-22 22:19:26,71.97,102.5,80,1015,46.87,100,6.81
Egvekinot,RU,2020-07-22 22:17:51,66.32,-179.17,58,1016,57.16,81,1.76
Vestmannaeyjar,IS,2020-07-22 22:19:44,63.44,-20.27,87,1012,53.6,40,2.6
Alvarães,BR,2020-07-22 22:25:07,-3.22,-64.8,88,1009,80.6,20,1.0
Baghlan,AF,2020-07-22 22:25:07,36.13,68.71,19,1006,80.85,0,0.73
Catuday,PH,2020-07-22 22:25:07,16.29,119.81,82,1008,81.45,1,2.77
Omboué,GA,2020-07-22 22:23:41,-1.57,9.26,82,1014,72.99,22,2.9
Rivera,UY,2020-07-22 22:25:07,-30.91,-55.55,86,1012,68.86,100,2.76
Bengkulu,ID,2020-07-22 22:17:36,-3.8,102.27,88,1009,73.94,90,1.98
Suzun,RU,2020-07-22 22:25:08,53.78,82.31,95,1008,52.9,5,1.2
Campo Grande,BR,2020-07-22 22:25:08,-20.44,-54.65,40,1015,73.4,36,3.6
Bilma,NE,2020-07-22 22:13:06,18.69,12.92,26,1006,92.07,21,3.02
Kamenka,RU,2020-07-22 22:19:27,51.32,42.77,87,1000,64.99,0,4.02
Airai,TL,2020-07-22 22:17:34,-8.93,125.41,53,1012,53.53,94,1.9
Butaritari,KI,2020-07-22 22:15:06,3.07,172.79,75,1010,83.59,63,6.45
Codrington,AU,2020-07-22 22:25:09,-38.27,141.97,80,1028,47.03,100,1.79
Paka,MY,2020-07-22 22:25:09,4.64,103.44,94,1008,77.0,70,1.42
Honningsvåg,NO,2020-07-22 22:20:42,70.98,25.97,100,1008,48.2,90,4.6
Ponta do Sol,PT,2020-07-22 22:18:51,32.67,-17.1,72,1020,69.01,2,1.16
Monduli,TZ,2020-07-22 22:25:09,-3.3,36.45,93,1021,60.8,20,5.1
Nioro,GM,2020-07-22 22:25:09,13.35,-15.75,81,1012,79.61,90,4.09
Ol'ga,RU,2020-07-22 22:25:10,43.74,135.29,88,1014,64.29,100,1.67
Nikolskoye,RU,2020-07-22 22:17:23,59.7,30.79,67,1001,59.0,1,4.0
Alyangula,AU,2020-07-22 22:25:10,-13.85,136.42,100,1013,64.4,40,1.5
Bredasdorp,ZA,2020-07-22 22:19:10,-34.53,20.04,93,1023,57.2,0,0.5
Najrān,SA,2020-07-22 22:18:00,17.49,44.13,14,1006,91.4,75,2.1
North Bend,US,2020-07-22 22:16:29,43.41,-124.22,77,1014,78.01,75,6.2
Faanui,PF,2020-07-22 22:17:39,-16.48,-151.75,79,1017,77.27,29,8.23
Qaqortoq,GL,2020-07-22 22:21:04,60.72,-46.03,25,1002,66.2,76,14.4
Ancud,CL,2020-07-22 22:19:54,-41.87,-73.82,70,1027,48.99,78,2.1
Saint Anthony,US,2020-07-22 22:25:11,45.02,-93.22,64,1018,68.0,90,3.1
Yellowknife,CA,2020-07-22 22:15:59,62.46,-114.35,93,1001,66.99,90,4.6
Belmonte,BR,2020-07-22 22:19:27,-15.86,-38.88,60,1018,73.4,0,2.1
Vila Velha,BR,2020-07-22 22:19:15,-20.33,-40.29,83,1018,77.0,0,4.1
Yulara,AU,2020-07-22 22:20:03,-25.24,130.99,80,1023,41.0,0,2.6
Shenyang,CN,2020-07-22 22:25:12,41.79,123.43,100,1009,73.4,69,1.0
Souillac,MU,2020-07-22 22:18:54,-20.52,57.52,68,1018,69.8,75,5.1
Hobyo,SO,2020-07-22 22:25:12,5.35,48.53,77,1009,76.86,18,12.24
Voloshka,RU,2020-07-22 22:25:13,61.33,40.09,96,998,56.95,95,3.5
Galle,LK,2020-07-22 22:25:13,6.04,80.22,88,1006,79.34,92,2.74
Bagn,NO,2020-07-22 22:25:13,60.82,9.55,73,1020,41.0,41,0.37
Paphos,CY,2020-07-22 22:25:14,34.77,32.42,73,1002,73.4,0,2.6
Gouré,NE,2020-07-22 22:25:14,13.98,10.27,63,1009,84.99,71,0.89
Tuatapere,NZ,2020-07-22 22:18:55,-46.13,167.68,83,1011,39.0,89,1.34
Dubuque,US,2020-07-22 22:25:14,42.48,-90.87,57,1016,80.6,1,5.1
Amazar,RU,2020-07-22 22:25:14,53.86,120.88,78,1007,60.37,100,0.27
Carnarvon,AU,2020-07-22 22:17:36,-24.87,113.63,100,1018,57.2,0,3.6
Cabra,ES,2020-07-22 22:25:15,37.47,-4.44,43,1017,82.0,0,2.04
Ust-Maya,RU,2020-07-22 22:25:15,60.42,134.53,60,1015,60.28,85,4.39
Wattegama,LK,2020-07-22 22:25:15,6.8,81.48,100,1007,77.0,40,1.5
Sibu,MY,2020-07-22 22:25:15,2.3,111.82,94,1008,73.4,40,1.0
Moyale,KE,2020-07-22 22:25:15,3.52,39.06,66,1011,69.4,82,5.77
Cuamba,MZ,2020-07-22 22:25:16,-14.8,36.54,79,1021,60.04,30,3.66
Constitución,CL,2020-07-22 22:18:56,-35.33,-72.42,76,1020,50.38,21,0.82
Katangli,RU,2020-07-22 22:18:50,51.71,143.23,93,1018,50.2,100,5.39
Khovd,MN,2020-07-22 22:25:16,48.01,91.64,70,1006,60.19,5,1.41
Lavrentiya,RU,2020-07-22 22:19:26,65.58,-171.0,59,1018,51.44,0,2.19
Cabedelo,BR,2020-07-22 22:24:06,-6.98,-34.83,78,1014,75.2,1,4.1
Seoul,KR,2020-07-22 22:14:12,37.57,126.98,100,1010,71.6,75,1.1
São João do Paraíso,BR,2020-07-22 22:25:17,-15.31,-42.01,54,1018,63.09,0,3.49
Wilmington,US,2020-07-22 22:21:28,34.23,-77.94,46,1019,93.2,1,5.7
Bakel,SN,2020-07-22 22:25:17,14.9,-12.46,45,1009,91.6,36,0.77
Semey,KZ,2020-07-22 22:25:17,50.41,80.23,66,1008,61.05,18,2.34
Kutum,SD,2020-07-22 22:19:27,14.2,24.67,72,1010,72.55,69,9.15
Görele,TR,2020-07-22 22:25:18,41.03,39.0,73,1013,73.4,40,3.1
Iroquois Falls,CA,2020-07-22 22:25:18,48.77,-80.68,68,1016,68.0,90,1.5
Grivenskaya,RU,2020-07-22 22:25:18,45.65,38.18,70,1013,69.42,0,3.09
Bulgan,MN,2020-07-22 22:25:18,48.81,103.53,86,1000,59.27,100,1.93
Dingle,PH,2020-07-22 22:19:34,11.0,122.67,88,1008,76.6,68,1.87
Miramar,US,2020-07-22 22:25:19,25.99,-80.23,94,1017,80.01,75,3.1
Te Anau,NZ,2020-07-22 22:20:00,-45.42,167.72,81,1003,36.25,52,1.45
San Cristobal,VE,2020-07-22 22:19:28,7.77,-72.22,55,1012,86.0,40,3.6
Geraldton,AU,2020-07-22 22:20:45,-28.77,114.6,87,1019,59.0,90,2.1
Port Hueneme,US,2020-07-22 22:25:20,34.15,-119.2,77,1012,75.0,90,4.6
Okhotsk,RU,2020-07-22 22:18:03,59.38,143.3,66,1019,58.41,25,1.84
Yar-Sale,RU,2020-07-22 22:25:20,66.83,70.83,81,1020,45.12,53,3.41
Chokurdakh,RU,2020-07-22 22:17:25,70.63,147.92,41,1008,83.61,69,2.1
Roncesvalles,CO,2020-07-22 22:25:20,4.01,-75.6,74,1016,80.6,75,4.1
Kursavka,RU,2020-07-22 22:25:21,44.46,42.51,72,1013,69.01,1,4.0
Clyde River,CA,2020-07-22 22:19:47,70.47,-68.59,81,1013,46.4,90,1.0
Ambulu,ID,2020-07-22 22:25:21,-8.35,113.61,89,1010,71.76,54,1.9
Vila Franca do Campo,PT,2020-07-22 22:17:59,37.72,-25.43,68,1028,68.0,40,2.1
Canutama,BR,2020-07-22 22:25:21,-6.53,-64.38,54,1007,84.4,88,0.71
Huarmey,PE,2020-07-22 22:24:18,-10.07,-78.15,72,1014,64.98,0,4.72
Cherskiy,RU,2020-07-22 22:19:23,68.75,161.3,31,1012,77.0,100,5.14
Nanortalik,GL,2020-07-22 22:18:47,60.14,-45.24,65,1005,52.0,100,6.14
Cidreira,BR,2020-07-22 22:19:47,-30.18,-50.21,70,1016,66.69,92,3.71
Provideniya,RU,2020-07-22 22:17:43,64.38,-173.3,87,1019,48.2,0,4.0
Porto Seguro,BR,2020-07-22 22:25:12,-16.45,-39.06,60,1018,73.4,0,2.1
Saint George,US,2020-07-22 22:18:57,37.1,-113.58,16,1010,98.6,1,4.6
Tuktoyaktuk,CA,2020-07-22 22:18:53,69.45,-133.04,87,1016,44.6,90,4.1
Mount Gambier,AU,2020-07-22 22:17:52,-37.83,140.77,100,1028,42.8,90,1.0
Vardø,NO,2020-07-22 22:18:04,70.37,31.11,93,1004,53.6,40,1.0
Sitka,US,2020-07-22 22:19:00,57.05,-135.33,72,1014,60.8,75,2.45
